"Time (s)","Recording (a.u.)"
9.916666667E-3,5.695031956E-3
9.937500000E-3,5.871926434E-3
9.958333333E-3,6.144207902E-3
9.979166667E-3,6.433772855E-3
1.000000000E-2,6.562490948E-3
1.002083333E-2,6.622680463E-3
1.004166667E-2,6.625604816E-3
1.006250000E-2,6.628298666E-3
1.008333333E-2,6.648918614E-3
1.010416667E-2,6.638940889E-3
1.012500000E-2,6.702547427E-3
1.014583333E-2,6.812986918E-3
1.016666667E-2,6.978455931E-3
1.018750000E-2,7.086216472E-3
1.020833333E-2,7.061815821E-3
1.022916667E-2,7.019120269E-3
1.025000000E-2,6.922123954E-3
1.027083333E-2,6.755420938E-3
1.029166667E-2,6.500402000E-3
1.031250000E-2,6.165965460E-3
1.033333333E-2,5.853636656E-3
1.035416667E-2,5.690975115E-3
1.037500000E-2,5.649863277E-3
1.039583333E-2,5.524075124E-3
1.041666667E-2,5.332082044E-3
1.043750000E-2,5.082078278E-3
1.045833333E-2,4.723935854E-3
1.047916667E-2,4.358245060E-3
1.050000000E-2,3.980044276E-3
1.052083333E-2,3.599791555E-3
1.054166667E-2,3.265772481E-3
1.056250000E-2,2.935802564E-3
1.058333333E-2,2.620094223E-3
1.060416667E-2,2.354871714E-3
1.062500000E-2,2.123033162E-3
1.064583333E-2,1.831615926E-3
1.066666667E-2,1.391540980E-3
1.068750000E-2,9.600343765E-4
1.070833333E-2,5.790547584E-4
1.072916667E-2,2.085617743E-4
1.075000000E-2,-9.458912973E-5
1.077083333E-2,-4.905322567E-4
1.079166667E-2,-8.985677268E-4
1.081250000E-2,-1.203885069E-3
1.083333333E-2,-1.482026069E-3
1.085416667E-2,-1.744936919E-3
1.087500000E-2,-2.112512942E-3
1.089583333E-2,-2.588331467E-3
1.091666667E-2,-3.112633014E-3
1.093750000E-2,-3.652215935E-3
1.095833333E-2,-4.111194052E-3
1.097916667E-2,-4.477473907E-3
1.100000000E-2,-4.810084123E-3
1.102083333E-2,-5.113095976E-3
1.104166667E-2,-5.420778878E-3
1.106250000E-2,-5.754488055E-3
1.108333333E-2,-6.134620868E-3
1.110416667E-2,-6.575038657E-3
1.112500000E-2,-6.990035065E-3
1.114583333E-2,-7.397260517E-3
1.116666667E-2,-7.775260601E-3
1.118750000E-2,-8.077473380E-3
1.120833333E-2,-8.342836052E-3
1.122916667E-2,-8.655214682E-3
1.125000000E-2,-8.971486241E-3
1.127083333E-2,-9.164218791E-3
1.129166667E-2,-9.339449927E-3
1.131250000E-2,-9.619742632E-3
1.133333333E-2,-1.004999597E-2
1.135416667E-2,-1.053933799E-2
1.137500000E-2,-1.094931550E-2
1.139583333E-2,-1.124686003E-2
1.141666667E-2,-1.138813421E-2
1.143750000E-2,-1.149743050E-2
1.145833333E-2,-1.166969910E-2
1.147916667E-2,-1.181347668E-2
1.150000000E-2,-1.202169992E-2
1.152083333E-2,-1.231155451E-2
1.154166667E-2,-1.256353781E-2
1.156250000E-2,-1.282308251E-2
1.158333333E-2,-1.305585075E-2
1.160416667E-2,-1.324648596E-2
1.162500000E-2,-1.339870505E-2
1.164583333E-2,-1.349373534E-2
1.166666667E-2,-1.358670741E-2
1.168750000E-2,-1.364807691E-2
1.170833333E-2,-1.370056439E-2
1.172916667E-2,-1.376631204E-2
1.175000000E-2,-1.383887045E-2
1.177083333E-2,-1.395934261E-2
1.179166667E-2,-1.405898202E-2
1.181250000E-2,-1.412486471E-2
1.183333333E-2,-1.418014988E-2
1.185416667E-2,-1.413767133E-2
1.187500000E-2,-1.404334791E-2
1.189583333E-2,-1.398058515E-2
1.191666667E-2,-1.391360816E-2
1.193750000E-2,-1.384735480E-2
1.195833333E-2,-1.384385861E-2
1.197916667E-2,-1.383886673E-2
1.200000000E-2,-1.379457861E-2
1.202083333E-2,-1.374345738E-2
1.204166667E-2,-1.362593472E-2
1.206250000E-2,-1.338534337E-2
1.208333333E-2,-1.294283755E-2
1.210416667E-2,-1.240639575E-2
1.212500000E-2,-1.195509359E-2
1.214583333E-2,-1.165729668E-2
1.216666667E-2,-1.143372152E-2
1.218750000E-2,-1.096679550E-2
1.220833333E-2,-1.040858310E-2
1.222916667E-2,-9.977369569E-3
1.225000000E-2,-9.465241805E-3
1.227083333E-2,-8.846800774E-3
1.229166667E-2,-8.205793798E-3
1.231250000E-2,-7.634921465E-3
1.233333333E-2,-7.100745104E-3
1.235416667E-2,-6.577853579E-3
1.237500000E-2,-6.080247462E-3
1.239583333E-2,-5.590504035E-3
1.241666667E-2,-5.233492702E-3
1.243750000E-2,-4.800700117E-3
1.245833333E-2,-4.219566472E-3
1.247916667E-2,-3.667377867E-3
1.250000000E-2,-3.027395811E-3
1.252083333E-2,-2.275244566E-3
1.254166667E-2,-1.583455363E-3
1.256250000E-2,-1.122234273E-3
1.258333333E-2,-8.270796388E-4
1.260416667E-2,-5.151196383E-4
1.262500000E-2,-2.336144098E-5
1.264583333E-2,6.816996029E-4
1.266666667E-2,1.398741733E-3
1.268750000E-2,2.112267539E-3
1.270833333E-2,2.799213864E-3
1.272916667E-2,3.277207725E-3
1.275000000E-2,3.712720703E-3
1.277083333E-2,4.260634072E-3
1.279166667E-2,4.724665079E-3
1.281250000E-2,5.139647517E-3
1.283333333E-2,5.607970990E-3
1.285416667E-2,6.055832375E-3
1.287500000E-2,6.633153185E-3
1.289583333E-2,7.312808651E-3
1.291666667E-2,7.876858115E-3
1.293750000E-2,8.443736471E-3
1.295833333E-2,9.007257409E-3
1.297916667E-2,9.501579218E-3
1.300000000E-2,1.002203487E-2
1.302083333E-2,1.045242883E-2
1.304166667E-2,1.078569982E-2
1.306250000E-2,1.120481826E-2
1.308333333E-2,1.173434965E-2
1.310416667E-2,1.233294047E-2
1.312500000E-2,1.290327404E-2
1.314583333E-2,1.328202896E-2
1.316666667E-2,1.352473628E-2
1.318750000E-2,1.371061243E-2
1.320833333E-2,1.379102096E-2
1.322916667E-2,1.395458169E-2
1.325000000E-2,1.422439422E-2
1.327083333E-2,1.439673733E-2
1.329166667E-2,1.454612985E-2
1.331250000E-2,1.464373991E-2
1.333333333E-2,1.465885993E-2
1.335416667E-2,1.472196542E-2
1.337500000E-2,1.470279880E-2
1.339583333E-2,1.463918295E-2
1.341666667E-2,1.470880955E-2
1.343750000E-2,1.478155516E-2
1.345833333E-2,1.469171979E-2
1.347916667E-2,1.447338238E-2
1.350000000E-2,1.435017399E-2
1.352083333E-2,1.428811811E-2
1.354166667E-2,1.423180848E-2
1.356250000E-2,1.428072061E-2
1.358333333E-2,1.424083486E-2
1.360416667E-2,1.403311267E-2
1.362500000E-2,1.369031705E-2
1.364583333E-2,1.322674658E-2
1.366666667E-2,1.289960369E-2
1.368750000E-2,1.270328276E-2
1.370833333E-2,1.243302971E-2
1.372916667E-2,1.212849282E-2
1.375000000E-2,1.176387351E-2
